,smiles,per_inh
125,CN1CCN(c2cc3c(cc2Br)CCN3C(=O)Nc2ccc(-c3cnc4ccccc4c3)cc2)CC1,1.0
126,Cc1cc(-c2ccc(NC(=O)N3CCc4cc(Cl)c(N5CCN(C)CC5)cc43)cc2)ccc1C#N,1.0
127,Cc1cc(-c2ccc(NC(=O)N3CCc4cc(Br)c(N5CCN(C)CC5)cc43)cc2)ccc1C#N,1.0
128,Cc1cc(N)c2cc(NC(=O)c3cc4ccccc4s3)ccc2n1,1.0
129,Cc1cc(N)c2cc(NC(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)ccc2n1.Cl,1.0
130,NCCCN(Cc1ccc(Cl)c(Cl)c1)C(=O)Nc1ccc(Cl)c(Cl)c1,1.0
131,O=C(/C=C/c1ccc(Cl)c(Cl)c1)NCCCCCN1CCC(c2n[nH]c(-c3ccccc3)c2Br)CC1,1.0
132,CCCCCCCCS(=O)(=O)NCCCC1CCN(CCCCCNC(=O)C=Cc2ccc(Cl)c(Cl)c2)CC1,1.0
133,CCCCNC(=O)c1cc(CNC2CCCCC2)ccc1-c1cccc(CNCc2ccc(-c3ccccc3)cc2)c1.O=C(O)C(F)(F)F,1.0
134,CC(Cc1ccc(CNC(=O)NCc2ccc(CC(C)NCCc3cccc(Cl)c3)cc2)cc1)NCCc1cccc(Cl)c1,1.0
135,CC(Cc1ccc(NC(=O)COc2ccc(CC(C)NCCc3cccc(Cl)c3)cc2)cc1)NCCc1cccc(Cl)c1,1.0
136,CCOc1ccccc1CCNC(C)Cc1ccc(C(=O)Nc2ccc(CC(C)NCCc3cccc(Cl)c3)cc2)cc1,1.0
137,CC(Cc1ccc(OCC(=O)NCC2CCN(CCc3cccc(Cl)c3)CC2)cc1)NCCc1cccc(Cl)c1.Cl,1.0
138,Nc1nc(N)c2c(ccc3c2ccn3Cc2ccc(Cl)cc2)n1,1.0
139,CC(Cc1ccc(NC(=O)c2ccc(CNCCCCc3ccccc3)cc2)cc1)NCCc1cccc(Cl)c1.Cl,1.0
140,CC(Cc1ccc(NC(=O)c2ccc(CNCCc3ccccc3)cc2)cc1)NCCc1cccc(Cl)c1.Cl,1.0
141,Cc1oc(-c2ccc(Cl)cc2)cc1C(=O)NCCC1CCN(CCCCCNC(=O)/C=C/c2ccc(Cl)c(Cl)c2)CC1,1.0
142,CC(Cc1ccc(OCCCCOc2ccccc2)cc1)NCCCn1ccnc1,1.0
143,CC(Cc1ccc(OCCCCOc2ccccc2)cc1)NCCC1CCCN1C,1.0
144,CC(Cc1ccc(OCCCCOc2ccccc2)cc1)NCCc1ccccc1Cl,1.0
145,COc1cccc(CCNC(C)Cc2ccc(OCCCCOc3ccccc3)cc2)c1,1.0
146,O=C(Nc1ccccc1)N(Cc1cccc(-c2cccc(CNCCc3ccccc3)c2)c1)C1CCN(Cc2ccccc2)CC1.O=C(O)C(F)(F)F,1.0
147,O=C(Nc1ccccc1)N(Cc1cccc(-c2ccc(CNCCc3ccccc3)cc2)c1)C1CCN(Cc2ccccc2)CC1.O=C(O)C(F)(F)F,1.0
148,O=C(Nc1ccccc1)N(Cc1cccc(-c2ccc(CNC3CCCC3)cc2)c1)C1CCN(Cc2ccccc2)CC1.O=C(O)C(F)(F)F,1.0
149,O=C(NCCc1ccccc1)N(Cc1ccccc1-c1cccc(CNCCc2ccccc2)c1)C1CCN(Cc2ccccc2)CC1.O=C(O)C(F)(F)F,1.0
